Ngày,Khu vực,Tổng tin bán,Lượt xem khu vực,Tin cắt lỗ,% Cắt lỗ,Đăng hôm nay,% Hôm nay,Giá bán TB (tr/m²),% Tăng giá YoY
2026-03-23,Nam Từ Liêm,4694,18718,6,20.0,1,3.33,133.8,35.0
2026-03-23,Cầu Giấy,0,,0,,0,,,
2026-03-23,Hà Đông,0,,0,,0,,,
2026-03-23,Hoàng Mai,3845,24230,0,,0,,232.9,50.0
2026-03-23,Thanh Xuân,3403,23593,7,23.33,2,6.67,161.6,
2026-03-23,Tây Hồ,2971,16378,3,10.0,3,10.0,261.0,
2026-03-23,Bắc Từ Liêm,2420,16663,8,26.67,1,3.33,122.8,
2026-03-23,Gia Lâm,2058,10373,5,16.67,2,6.67,130.7,
2026-03-23,Long Biên,3858,37691,2,6.67,3,10.0,250.7,
2026-03-23,Hoài Đức,2618,16824,0,,5,16.67,146.2,56.0
2026-03-23,Đống Đa,3179,32608,5,16.67,2,6.67,237.6,
2026-03-23,Hai Bà Trưng,2266,23719,7,23.33,1,3.33,153.5,
2026-03-23,Thanh Trì,1214,11786,8,26.67,2,6.67,130.9,46.0
2026-03-23,Ba Đình,2165,23879,4,13.33,0,,238.3,
2026-03-23,Đông Anh,1867,19082,3,10.0,1,3.33,203.7,
2026-03-23,Đan Phượng,0,,0,,0,,,
2026-04-09,Nam Từ Liêm,924,11708,3,10.0,12,40.0,240.4,92.0,
2026-04-09,Cầu Giấy,2018,19574,2,6.67,19,63.33,314.3,126.5,
2026-04-09,Hà Đông,1313,19003,3,10.0,9,30.0,250.0,79.7,
2026-04-09,Hoàng Mai,1238,17686,3,10.0,14,46.67,239.6,86.1,
2026-04-09,Thanh Xuân,1505,17710,1,3.33,12,40.0,272.4,92.0,
2026-04-09,Tây Hồ,964,10205,2,6.67,15,50.0,289.9,155.1,
2026-04-09,Bắc Từ Liêm,715,10201,2,6.67,12,40.0,276.0,100.5,
2026-04-09,Gia Lâm,119,1710,4,16.0,18,72.0,129.4,68.6,
2026-04-09,Long Biên,1638,20326,1,3.33,13,43.33,262.9,76.3,
2026-04-09,Hoài Đức,369,6629,1,3.57,9,32.14,163.9,76.1,
2026-04-09,Đống Đa,2099,22090,3,10.0,15,50.0,283.6,96.6,
2026-04-09,Hai Bà Trưng,1157,14839,3,10.0,11,36.67,269.5,98.2,
2026-04-09,Thanh Trì,331,5887,5,19.23,10,38.46,148.8,78.0,
2026-04-09,Ba Đình,1232,14149,5,16.67,13,43.33,245.6,181.8,
2026-04-09,Đông Anh,141,2562,2,6.9,9,31.03,114.2,105.9,
2026-04-09,Đan Phượng,20,,4,19.05,1,4.76,142.1,56.4,
