Ngày,Khu vực,Tổng tin bán,Lượt xem khu vực,Tin cắt lỗ,% Cắt lỗ,Đăng hôm nay,% Hôm nay,Giá bán TB (tr/m²),% Tăng giá YoY
2026-03-23,Nam Từ Liêm,4694,18718,6,20.0,1,3.33,133.8,35.0
2026-03-23,Cầu Giấy,0,,0,,0,,,
2026-03-23,Hà Đông,0,,0,,0,,,
2026-03-23,Hoàng Mai,3845,24230,0,,0,,232.9,50.0
2026-03-23,Thanh Xuân,3403,23593,7,23.33,2,6.67,161.6,
2026-03-23,Tây Hồ,2971,16378,3,10.0,3,10.0,261.0,
2026-03-23,Bắc Từ Liêm,2420,16663,8,26.67,1,3.33,122.8,
2026-03-23,Gia Lâm,2058,10373,5,16.67,2,6.67,130.7,
2026-03-23,Long Biên,3858,37691,2,6.67,3,10.0,250.7,
2026-03-23,Hoài Đức,2618,16824,0,,5,16.67,146.2,56.0
2026-03-23,Đống Đa,3179,32608,5,16.67,2,6.67,237.6,
2026-03-23,Hai Bà Trưng,2266,23719,7,23.33,1,3.33,153.5,
2026-03-23,Thanh Trì,1214,11786,8,26.67,2,6.67,130.9,46.0
2026-03-23,Ba Đình,2165,23879,4,13.33,0,,238.3,
2026-03-23,Đông Anh,1867,19082,3,10.0,1,3.33,203.7,
2026-03-23,Đan Phượng,0,,0,,0,,,
2026-04-09,Nam Từ Liêm,4915,18918,5,16.67,15,50.0,172.0,92.0,35.0
2026-04-09,Cầu Giấy,4909,30734,7,23.33,14,46.67,135.4,126.5,42.0
2026-04-09,Hà Đông,5774,34246,6,20.0,22,73.33,118.5,79.7,
2026-04-09,Hoàng Mai,3867,23923,2,6.67,14,46.67,102.7,86.1,
2026-04-09,Thanh Xuân,3388,24094,1,3.33,14,46.67,120.4,92.0,
2026-04-09,Tây Hồ,3093,16776,1,3.33,18,60.0,202.8,155.1,
2026-04-09,Bắc Từ Liêm,2490,17321,4,13.33,19,63.33,101.0,100.5,
2026-04-09,Gia Lâm,2142,8851,9,30.0,12,40.0,73.3,71.0,
2026-04-09,Long Biên,4044,34603,2,6.67,10,33.33,195.2,76.3,
2026-04-09,Hoài Đức,2418,15161,3,10.0,5,16.67,81.4,76.1,
2026-04-09,Đống Đa,3288,32766,6,20.0,14,46.67,262.5,96.6,19.0
2026-04-09,Hai Bà Trưng,2226,22861,9,30.0,14,46.67,121.8,98.2,
2026-04-09,Thanh Trì,1074,10308,3,10.0,9,30.0,135.0,78.0,
2026-04-09,Ba Đình,2096,19891,7,23.33,13,43.33,226.4,169.3,
2026-04-09,Đông Anh,1760,17268,4,13.33,11,36.67,166.7,105.9,
2026-04-09,Đan Phượng,721,2676,7,23.33,5,16.67,160.2,56.4,
